car_name,Domestic_count,Export_count,Total_Sales,year
Accent,"7,493","160,435","167,928",2017
Avante,"83,830","165,360","249,190",2017
IONIQ,"12,218","57,703","69,921",2017
i30,"4,547","48,404","52,951",2017
Veloster,206,"9,656","9,862",2017
Sonata,"82,412","53,756","136,168",2017
i40,312,"14,677","14,989",2017
Grandeur,"131,950","4,837","136,787",2017
Aslan,490,0,490,2017
G70,"4,345",44,"4,389",2017
G80,"39,700","17,214","56,914",2017
EQ900,"12,271","5,015","17,286",2017
Coupe,0,0,0,2017
Kona,"23,227","37,679","60,906",2017
Tucson,"46,382","213,622","260,004",2017
Santa-Fe,"58,610","95,902","154,512",2017
LCV,"147,109","52,774","199,883",2017
HCV,"32,278","26,860","59,138",2017
Accent,"5,698","64,302","70,000",2018
Avante,"75,831","153,278","229,109",2018
IONIQ,"9,426","76,729","86,155",2018
i30,"3,225","43,229","46,454",2018
Veloster,"4,254","14,695","18,949",2018
Coupe,0,0,0,2018
Sonata,"65,846","41,324","107,170",2018
i40,213,"5,512","5,725",2018
Grandeur,"113,101","4,800","117,901",2018
Aslan,20,0,20,2018
G70,"14,417","13,799","28,216",2018
G80,"37,219","7,718","44,937",2018
EQ900,"9,709","2,527","12,236",2018
Kona,"50,468","202,192","252,660",2018
Tucson,"42,623","228,137","270,760",2018
NEXO,727,222,949,2018
Santa-Fe,"108,967","58,908","167,875",2018
Pailsade,"1,908",29,"1,937",2018
LCV,"148,175","52,340","200,515",2018
HCV,"29,251","20,775","50,026",2018
Accent,"4,094","22,680","26,774",2019
Avante,"62,104","142,580","204,684",2019
IONIQ,"6,027","77,687","83,714",2019
i30,"1,427","36,043","37,470",2019
Veloster,"2,175","14,331","16,506",2019
Sonata,"100,003","31,337","131,340",2019
i40,63,"1,607","1,670",2019
Grandeur,"103,349","2,745","106,094",2019
G70,"16,975","11,206","28,181",2019
G80,"22,284","6,904","29,188",2019
G90,"17,542","2,204","19,746",2019
Venue,"16,867","20,587","37,454",2019
Kona,"42,649","264,872","307,521",2019
Tucson,"36,758","248,451","285,209",2019
NEXO,"4,194",793,"4,987",2019
Santa-Fe,"86,198","44,911","131,109",2019
Pailsade,"52,299","55,215","107,514",2019
GV80,0,20,20,2019
LCV,"139,392","43,430","182,822",2019
HCV,"27,442","14,956","42,398",2019
Avante,"87,731","102,191","189,922",2020
IONIQ,"3,615","49,912","53,527",2020
i30,500,"21,136","21,636",2020
Veloster,"2,341","4,589","6,930",2020
Sonata,"67,440","25,519","92,959",2020
Grandeur,"145,463","3,399","148,862",2020
G70,"7,910","8,338","16,248",2020
G80,"56,150","4,493","60,643",2020
G90,"10,009","2,274","12,283",2020
Venue,"17,726","38,579","56,305",2020
Kona,"31,902","245,074","276,976",2020
Tucson,"36,144","164,561","200,705",2020
NEXO,"5,786",995,"6,781",2020
Santa-Fe,"57,578","31,207","88,785",2020
Pailsade,"64,791","92,342","157,133",2020
GV70,0,20,20,2020
GV80,"34,217","8,941","43,158",2020
LCV,"131,384","30,368","161,752",2020
HCV,"27,069","8,378","35,447",2020
Avante,"71,036","123,641","194,677",2021
IONIQ,1,"48,754","48,755",2021
i30,1,"18,227","18,228",2021
Veloster,510,"2,552","3,062",2021
Sonata,"63,109","43,186","106,295",2021
i40,0,0,0,2021
Grandeur,"89,084","4,394","93,478",2021
G70,"7,429","12,508","19,937",2021
G80,"59,464","6,102","65,566",2021
G90,"5,089","2,127","7,216",2021
Casper,"10,806",0,"10,806",2021
Venue,"13,496","56,519","70,015",2021
Kona,"12,241","192,329","204,570",2021
Tucson,"48,376","115,395","163,771",2021
NEXO,"8,502","1,118","9,620",2021
IONIQ5,"22,671","43,235","65,906",2021
Santa-Fe,"41,600","58,621","100,221",2021
Pailsade,"52,338","105,350","157,688",2021
GV60,"1,190",24,"1,214",2021
GV70,"40,994","18,416","59,410",2021
GV80,"24,591","23,481","48,072",2021
LCV,"125,650","33,906","159,556",2021
HCV,"28,658","10,165","38,823",2021
Avante,"58,743","180,231","238,974",2022
i30,0,"15,152","15,152",2022
IONIQ,0,"16,163","16,163",2022
Veloster,183,"2,156","2,339",2022
Sonata,"48,308","81,731","130,039",2022
